,movie,score,sentence
0,스파이더맨: 노 웨이 홈,10,지금까지의 마블 영화중 가장 흥미진진했다.
1,곡성(哭聲),10,역대최고 공포영화인듯
2,고스트버스터즈 라이즈,10,"스토리가 허술할 수도 있고, 개연성도 떨어지지만 레트로 감성과 전작의 연관성을 잘 살렸으니 이정도면 팬들에게 충분한 감동을 선사하기에 무리가 없다. 원작 주인공들이 막판 등장은 울컥하기에 충분했으며, 짧은 시간동안 그 시절 입담으로 오디오를 꽉채우는 레이와 뱅크먼은 30년전 감동을 고스한히 재현.   2016년작 쓰레기는 대체 무슨생각이었지?"
3,스파이더맨: 노 웨이 홈,10,스파이더맨이 빌런인듯 함
4,고장난 론,10,아이랑 더빙으로 봤는데도 전 너무 재밌고 감동적이였어요저희신랑도 눈물날뻔했다하고 저는 실제로 눈물이..ㅎㅎ아들도 보면서 꺄르르까르르 재밌고 감동적이였데요강추입니다
5,고장난 론,10,나이 30대 후반인데...왜 눈물을 멈출 수 없는지....
6,돈 룩 업,10,답답해 미치는 줄...정신 차리라고 죽빵때리고 싶은 캐릭이 한 두명이 아님.내가 과몰입했는지 웃으면서 보지 못했다...캐스팅과 연기력 몰입도는 최고였음.
7,추억은 방울방울,2,"작화만 좋음. 내레이션으로 자꾸 감성적인 척하고 내용은 어쩌라는건지 모르겠음. 시골씬은 보다가 잠들뻔함. 또, 모든 캐릭터가 ㅈㄴ 짜증남. 양파 걸러내는 애새끼, 지 딸 멱살잡고 뺨따구 때리는 애비.. 촌놈은 말할 때마다 쩝쩝거려서 거슬림."
8,스파이더맨: 노 웨이 홈,8,마블스러운 마블영화...평점은8.1점주고싶다
9,북샵,10,빌 나이의 연기를 보면서 측은지심이 뭔지 다시금 생각나게 하는 영화. 잔잔하게 밀려오는 슬픈 감정이 오래 남을거 같다.
10,괴물,10,지금보니... 그때나 지금이나 공공의 적은 견찰이였네.... 서민이 말하면 안들어줌...
11,어느날,10,"신파극을 싫어해서 또 다른 신파극의 탄생이라며 비난할 사람들도 분명히 있을 영화지만 영화 속에 담긴 메시지와 감독의 주제의식으로 영화 보는 내내 '영화의 관련 주제'에 대해 깊이 생각해 볼 수 있어, 제겐 아주 뜻 깊은 영화였습니다. 본 지 꽤 됐음에도 불구하고, 아직까지 여운이 남아서 리뷰를 쓰고 있는 걸 보면 인상 깊게 본 것 같네요. 김남길 배우님과 천우희 배우님이 병동에서 만나고부터인 초중반까지는 밝고 명랑한 분위기였으나, 이야기가 계속 진행됨으로써 인물들에게 공감하며 흠뻑 빠져들었어요. 후반부터 '영화의 관련 주제'에 대해 직접적으로 나오며 '그것'을 통해 인물들이 어떻게 생각하는지 알 수 있어서 너무나 먹먹했어요. 이런 영화를 영화관에 가서 봤어야 했는데. 영화관에 가서 보지 못한 게 한으로 남네요. 안 보신 분들은 꼭 보시길 바랍니다."
12,해피 뉴 이어,10,감동이있는 영화입니다.
13,씽2게더,10,시간가는 줄 모르고 봤어요. 정말 재미있게 잘 봤어요.
14,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,10,25살에 이거보고 눈물 줄줄흘림ㅜ
15,스파이더맨: 노 웨이 홈,1,정말 지루하고 재미없는 영화. 최악의 영화중 하나. 비추~~
16,씽2게더,8,발전된 그래픽에 비해 스토리는 아쉬우나 음악이 흥이 난다
18,매트릭스: 리저렉션,10,사랑의 멋짐을 모르는 너네가 너무 불쌍해!!!!
20,어벤져스: 엔드게임,10,할리우드가 보여줄 수 있는 기술의 정점    팝콘무비의 정수                                          그동안 마블을 사랑했던 모든 이에 대한 헌정시
21,스파이더맨: 노 웨이 홈,10,최고예요 역시최고최고
22,고장난 론,10,강추강추 요즘 트랜드에 딱 맞는 이야기
25,경관의 피,10,존잼인데 ㅡㅡ 재미없다는사람이해안감
26,내부자들,10,연기 드림팀 구성.이병헌.조승우.백윤식… 말이 필요없음.
27,바람,10,남자들이라면 모두 꿈꿔왔던 학창생활. 인생영화
28,덩케르크,8,"이 영화를 보고 다른사람들은 시를 보고 해석하고 그 안에서 감동과 재미를 찾았다고 하는 사람들은 정작 무슨 내용인지도 모르고 전문가들이 평점 7~8점을 박은걸 보고, 오바하는 사람들니지"
29,경관의 피,4,킬링타임 배우들 보는맛
30,스파이더맨: 노 웨이 홈,10,마블 영화 안 좋아하는데… 다들 이래서 마블 영화 보는건가 싶고 스파이더맨 처음 봤는데 진짜 너무 재밌고 또 보고싶을정도로 여운이 남음…..
31,덩케르크,8,누가봐도 놀란 감독 작품인걸 느낄수 있을 영화. 블랙호크다운이나 라이언 일병 같은 기대를 하면 안되고 각 주인공들이 처한 상황에서의 심리/고뇌/선택의 결과 등에 초점을 두고 본다면 너무 아름다운 영화가 될 것 같습니다.
32,해피 뉴 이어,4,재용이형 이제 이런 영화는 고마 찍자 너무 촌시럽잖아.
33,레버넌트: 죽음에서 돌아온 자,10,8점대 중후반은 될만한 영화입니다
34,두근두근 내 인생,10,부모가되서 보니 정말 눈물왈칵....영화관에서봣을땐 몰랏는데 부모가되어 다시보게됬는데 아 명작이구나소설원작도 찾아볼듯...
35,스파이더맨: 노 웨이 홈,1,MJ앰흑 전라도 개존못ㅠㅠ
36,킹스맨: 퍼스트 에이전트,10,역사적인 내용과 영화 스트리를 연결하여 재밌는 시리즈가 됨
37,스파이더맨: 노 웨이 홈,10,스파이더맨 종합선물세트
38,고장난 론,10,압살롬?론 너무 귀여워요 ㅠㅠ
39,씽2게더,8,"전반적인 내용은 1편보다 못하지만 ost나 그래픽, 화려함은 1편을 능가합니다.더빙판의 단점으로는 영음 그대로 나오는 ost가 몇곡 되는데, 그 부분만 자막이 나왔더라면 하는 아쉬움은 있습니다."
41,드라이브 마이 카,9,원작 '드라이브마이카'의 뼈대와 '세예라자드'를 병치시켜서 '기노'의 이야기를 하고 있다.
42,스파이더맨: 노 웨이 홈,10,지금 평점 낮게 준 사람들 스파이더맨 1부터 안 본 사람임 처음부터 안 봤으니까 이해가 안되는거지시리즈 다 본 사람들은 진짜 재미없을 수가 없음혹시 볼 분들은 스파이더맨1부터 정주행하시고 가는 걸 강추
43,킹스맨: 퍼스트 에이전트,10,다른 걸 다 떠나서 영상미와 연출이 미쳤음…..추천!!
44,소울,10,최고에요 ㅠㅠ 울엇다는건 안비밀
45,이터널스,1,"저는 12살 초등학생 입니다. 동생이 졸라서 영화를 보게되었는데요.내용이 엄청 선정적이고,야합니다.남자끼리 키스해서 아이낳고,서로 키스하고 뒹구는 내용은 정말 싫었습니다.마블영화라서 그냥 그랬지만 그래도 조금은 기대했는데, 상상보다도 더욱 별로였어요.싸우는 것도 재미없고,그.뭔가걔네끼리만 나오는. 내용 같아보이는데..서로를 복수하고,배신하고,사랑하고,사실 다른얘들을 구하는 내용은 없는 것 같아요.정말 절대 보지 마세요.절대 추천안해요.내용이 진짜 너무 지루해요.가족이 다 보고나서 돈아깝다는 말밖에 안했어요.진짜..너무 야합니다."
46,킹스맨: 퍼스트 에이전트,9,"역사 기반으로 만든거라 재밌네요 1,2랑 다른 느낌"
47,스파이더맨: 노 웨이 홈,10,세 스파이더맨이 한 자리에 모인 장면을 볼 수 있는 이 시대에 사는 것에 감사함을 느꼈음
48,드라이브 마이 카,10,우리 마음속 뭔가가 일어나게 만드는 영화
50,스파이더맨 3,2,너무 재미없다. 너무하잖아.
51,씽2게더,10,시간 가는줄 몰랐음 1편도 안봤지만 재밌었음 다음편도 기대
52,씽2게더,10,여러분 진짜 영화관에서 꼭 보세요!! 지루할 틈이 없어요 1편도 재밌개 봤는데 훨씬 기대를 뛰어넘는... 강추입니다!
53,작전,10,최고의 주식영화!!최고
54,붉은 거북,10,"인간은 자연속에서 살고, 자연으로 돌아간다.아름답고, 장엄하다.."
55,경관의 피,2,나름 좋다고 하는 재료들은 다 넣었는데맛이 없고 무슨요리인지도 모르겠다.
56,경관의 피,10,"최우식, 조진웅 배우 케미가 좋았어요~~!스토리 좋았는데 악역이 너무 허무하게 잡혀서 극적요소는 없었지만, 전반적으로 재밌었어요ㅎ 최우식 배우 크게보니 좋네여ㅎ"
57,라스트 모히칸,10,30년이 지난 지금 다시 봐도 그 감동이 그대롭니다. 음악만 들어도 울컥하네요. 제 최애 영화…
58,경관의 피,10,믿고보는 조진웅배우님!!!!
59,씽2게더,10,희망을 주는 노래로 가득함 감동 재미 모두 완벅
60,씽2게더,10,솔직히 1편보다 훨씬 재밌었습니다 눈도 즐겁고 귀도 즐겁고 최근 본 영화중에 제일 기분좋은영화였습니다 바로 앞에서 뮤지컬을 보는 감동이였습니다 완전 추천..
61,스파이더맨: 노 웨이 홈,10,진짜....말잇못... 정말 재밌었음... 펑펑울고 왔어...진짜 톰스파 떠나지 말아줘 ㅠㅠㅠ 정말재밌으니까 영화관에서 꼭 보세요!!!! 강추입니다
63,돈 룩 업,10,오랫만에 2시간 이상 몰입해서 보는 영화가 나왔다!
64,씽2게더,10,좋다 재밌었다 꼭 보시길! 후회없을듯
65,신비한 동물들과 그린델왈드의 범죄,10,평점이 별로라 기대 하나도 안하고 봤는데 너무너무 재밌었다! 볼거리 풍부하고 스토리도 재밌고 시간이 넘 금방갔음.. 살짝 급하게 이야기가 끝나서 사람들이 당황한건가 싶기도한데 해리포터 죽음의성물1 과 같달까ㅎ 아니 해리포터 세계관 영화인데 무조건 행복한 맘으로 봐야하는거 아닌지ㅋㅋ 신.동3 빨리 보고싶다~~
66,경관의 피,10,재밌었어요 조진웅 연기 보는맛 다른 배우들도 굿
69,고스트버스터즈 라이즈,8,고스트버스터즈는 2편도 그렇고 빨리좀 나왔음 좋았을건데..늦어도 너무늦게 나오는거 같음..예전 1편을 재밌게 본 사람들은 추억에 좋았을듯ㅎㅎ
70,씽2게더,10,노래가좋아요 굳잡스으
71,경관의 피,6,"조진웅만 제대로된 연기를 보여줌. 그냥 조진웅 영화임. 최우식, 박휘순 뭐라는지 안 들리고 연기 너무 아쉬웠음. 연출도 별로."
72,스파이더맨: 노 웨이 홈,10,개인적으로 스파이더맨 영화중 가장 슬펐고 역대 스파이더맨 영화중 1위는 아니지만 2위라고 생각합니다 ㅎㅎ1위는 역시 토비 스파이더맨2죠 ㅎㅎ고딩이지만 태어났을때 처음본 영화가 토비 스파이더맨인 팬으로써 이번 영화는 큰 선물이네요 ㅎ
73,씽2게더,10,"애니메이션 엄청 좋아해서 웬만한 애니메이션 영화 다 봤는데 그 중에서 정말 감동적이고 재밌어요ㅜㅜ 완전 울었습니다,, 진짜 꼭 보세요ㅜ 두번 보세요"
74,경관의 피,4,음향 문제 너무 심하더라구요 대사의 50%가 안들려요
75,언포기버블,10,책임감이 얼마나 중요한지 강하게 느끼는 감동적인 영화다.
76,싸움의 기술 2,10,괜찮은데 ㅋㅋ 시간가는줄 모르고 다봄 ㅋ
77,작전,10,과천아파트 싸게 매수한 엄마가 승자
79,검은 집,1,1점도 아까운 발연기 암걸리는 억지스토리..현실성 제로에 이정도면 황정민이랑 여자친구도 공범 아닐까 생각들정도… 보지마세요 여러분의 시간은 소중하니까요
80,쉰들러 리스트,10,두번째 봅니다 명작입니다
82,씽2게더,10,생애 최고의 애니메이션. 성우 OST 완벽
83,경관의 피,10,너무 좋다. 조진웅의 연기는 말할나위가 없다.
84,유체이탈자,2,어설픈 액션과 어설픈 결론
85,싱크홀,4,영화 강릉이 대단하다적을게 없다...돈아깝다
86,호텔 뭄바이,10,연출도좋고 영상미도 아주좋음 하지만 CG의 아쉬운부재
87,씽2게더,8,윤도현도 좋았지만임재범이면 더 좋았을텐데 하는 아쉽
88,스파이더맨: 노 웨이 홈,10,영화 한 편이 단지 영화 속 내용 뿐만이 아니라 내 가슴 속 추억까지 다시 되새겨주는 특별한 경험을 하게 된다.
90,씽2게더,10,너무 좋았습니다.최고입니다.
92,헌터 킬러,10,남자라면 무조건봐야지 전율이 돋는다
93,씽2게더,10,노래도 너무 좋고.. 내용도 괜찮은것 같습니다! 또 보고싶네요!
95,센과 치히로의 행방불명,10,최고.
96,낙원의 밤,10,이 영화는 배우들이 다 살렸다
97,타이거마스크,1,정원아 걍 노가다나해라....
99,경관의 피,10,잘봤습니다. 주연 두배우님과 조연배우님들 그외 애쓰신분들 중간중간 나쁜역활분들 때문에 더욱 재미있게 잘 봤 습니다
100,돈 룩 업,10,왠지 저런 실제상황이 온다면 정말 영화처럼 흘러갈 거 같은 느낌...뭔가 유쾌하게 풀어냈지만 서글프다영화를 본 오늘은 가족들과 있고 싶다
101,해피 뉴 이어,10,연말에 보기 좋은 영화!! 인 것 같네요.연기 잘하는 배우들이 많이 나와서 개인적으론 몰입이 잘되서 재밌었던 것 같습니다~!
102,속닥속닥,10,신선하고 좋았습니다 : )
103,미녀는 괴로워,10,언냐들은 공감못해
104,씽2게더,10,노래가 너무 좋고 스토리도 좋아요ㅠㅠ
105,기생충,4,"기존의 영화들과는 다른 시도나 구성을 포함한 예상치못한 스토리 전개가 흥미롭긴 했습니다. 그러나 영화를 보고난 후 속이 미식거리고 불편하고 기분은 좋지 않습니다. 상식적이지 않는 설정과 망상적인 시나리오로 개연성이 낮고 영화가 주는 교훈이나 메시지가 부재한 것이 영화의 한계라고 생각합니다. 또한, 빈부 대한 편견으로 가득한 선입견과 구성 인물들의 가치 판단 없는 일차원적인 사고구조가 일반적이지 않고 디테일한 설정에서 개연성과 합리성이 상당히 떨어집니다. 특히, 특권층의 아이 생일 파티에 부리는 사람들을 초대한다거나 심지어는 이벤트까지 참가 시키는 것은 전혀 현실적인 설정도 아닙니다. 또한, 혼비백산한 상황에서 자동차 키를 달라고 외친다거나 줍는 씬은 너무나도 비상식적인 설정이지 않습니까? 봉준호 감독의 새로운 시도에 대한 부분은 높이 평가하는바이나 영화 시나리오나 구성과 일부 씬의 완성도 면에서 실망스러운 부분이 있어 아쉽게 생각합니다."
106,악질경찰,2,별점한개도아까운영화였습니다 ..
107,스파이더맨: 노 웨이 홈,10,존잼이에요
108,스파이더맨: 노 웨이 홈,10,너무 재미있었어요11살 우리 아들은 펑펑 울더라구요쿠키도 꼭 보시길 특히 두번째 쿠키
109,킹스맨: 퍼스트 에이전트,8,낫밷
110,스파이더맨: 노 웨이 홈,10,넘나 재미있었다ㅠㅠ스파이디
111,모가디슈,8,RT 2시간이 꽉차는데 훅 빨려든다~
112,럭키,10,너무 재밌게 잘 보았습니다.
113,핫 블러드,10,이정도면 재밌네요 굿굿굿
114,해피 뉴 이어,10,왜이렇게 평점이 낮은지 모르겠네요.. 엄마랑 같이 봤는데 배우들 연기도 잘하고 마음이 따뜻해지는 영화여서 만족했습니다! 배우들 모두 최고였어요
115,씽2게더,10,전편보다 퀄리티도 높아지고 웅장해져서 정말 재밌게 봤네요ㅜ 더빙은 짤막한 노래들도 한국 성우와 가수분들이 부르셔가지고 정말 신기했어요.... 너무너무 최고입니다 !!!!
116,경관의 피,10,킬링타임용으로 부담없이 재미있었습니닽
117,씽2게더,10,"ost는 말할것도 없고, 영상미또한 좋다"
118,프렌치 디스패치,9,한편의 훌륭한 잡지를 보는 것 같았다
119,특수부대 전랑2,10,어떻게 하면 망작을 만들 수 있는지를 보여주는 영화입니다.이 산업에 종사하고자 하는 분들에게 교과서 같은 영화입니다.
120,스파이더맨: 노 웨이 홈,10,짧지만 강렬했던 3스파의 만남
121,소울,10,인생에 대한 고민이 많았는데 아무생각없이 보러갔다가 위로받고나왔어요 애니메이션보고 눈물흘렸던거 오랜만이었습니다ㅠㅠ
122,경관의 피,10,딸과 재밌게 봤어요.  다시 보래도 한번쯤더 볼 의향 있어요
123,돈 룩 업,10,웃고 있지만 씁쓸한.. ㅎ
125,씽2게더,10,윤도현 너무 좋아요~ 감동감동이네요 ^^
126,씽2게더,10,정말 오랜만에 너무재밌고 벅찬 애니메이션 뮤지컬영화.. 두시간 내내 흠뻑 빠져서 봣음
127,루카,7,영화를 보고 이 영화에 대한 해석을 보면 더 재미있었다.
128,스파이더맨: 노 웨이 홈,1,고구마 백개 씹어먹은듯… 후우
129,스파이더맨: 노 웨이 홈,10,마블이 요즘D.C 따라하나싶었는데  이렇케 감동을 주네!  스파이더맨시리즈 종합선물세트!
130,경관의 피,10,첨 평가 남겨봄. 평점이 낮아 기대 안하고 봤는데… 완전 대박. 신들린 연기에.. 짜임새 있는 스토리.. 2시간이 어떻게 지났는지.. ㅋ
131,씽2게더,10,아이랑 같이 봤는데 둘 다 재밌게 봤어요~
132,더 킹,10,박근혜 쪼갤때 개빡침이명박 발꼬락다이아여사 나올때도 개빡침
133,야관문: 욕망의 꽃,6,점잖치 못한 신성일과 섹시 아이돌 배슬기의 만남 부터가..찐 에로가 더 나았을 듯. 유태웅과 조폭형은 얼떨결에 대박..배슬기의 미모와 몸매는 감탄스러워. 노출 및 색수.진짜 대역일까?
134,씽2게더,10,씽1보다 더 잼있었어요 영상도 넘 예쁘고 화려해서 눈호강하는 기분들었네요 추천합니다~~
136,씽2게더,10,노래도 좋고 아이보다 더집중해서 봤네요
137,경관의 피,10,조진웅+최우식 조합 좋아요~후속편 기대~
138,경관의 피,5,"음향문제 너무 심한데,,,"
139,킹스맨: 퍼스트 에이전트,10,중딩~고딩수준의 세계역사를 알고 본다면 10점만점의 100점. 그정도의 세계역사도 모르고 본다면 0점~1점. 당신이 최소한 몇점짜리 인간인지는 당신의 몫.
140,세자매,10,저런 가족들 징글징글하다고 생각하며 보다가 후반부로 갈수록 저런게 가족이지라는 생각으로 바뀌게 되었다.
141,강원도의 힘,10,그 동안 몰랐던 홍상수의 재 발견
142,더 웨이 홈,10,좋아용 심심할때 보기 좋은 영화!
143,매트릭스: 리저렉션,2,영화관에서 보다가 잔 2번째 영화..감상 포인트가 없는데 포인트를 정하라고 하면 난감하네
144,경관의 피,10,2시간이 지겹지 않은 영화~~이정도면 웰메이드 아닌가~~
145,경관의 피,6,조진웅이 형사연기 하는건 괜찮은데...최우식이 형사 연기 한건 무리가 있었다 또 지루한 부분도 있고 가끔씩 발연기도 있고 브금때문에 배우들 연기하는 소리도 잘 안들리고 근데 재밌어요 물론 영화관에서 굳이 관람까지는 하지마시고 시간 남거나 심심할때 인터넷으로 다운받아서 보세요
146,엑스트라,10,김상중님의 리즈시절은 풋풋하네요
148,체실 비치에서,10,"사랑한다면 사랑의 이름으로 사랑의 서사로 사랑의 사랑의 운명에 자신을 던져야 하는가, 진심을 담아."
149,경관의 피,10,최우식 쨩 배우들 쨩ㅏㅏㅏ
151,크루엘라,10,그냥 시간 가는 줄 모르고 본 영화. 너무 재밌다 진심
152,언포기버블,9,사회적인 편견보다 중요한 건 가족을 지키는 것이다.
153,스파이더맨: 노 웨이 홈,10,스파이더맨은 주연이 바뀔때마다 항상 비교대상이었고 논란이 있었는데 이걸 이렇게 풀어간다는 것 자체가 소름이었고 그들이 모인 한 장면만 봐도 뭉클하면서도 든든했다.
154,가타카,10,오글거리지만 제가 다시 꿈을 꿀 수 있게 해줬어요
155,돈 룩 업,7,너무나 뻔하고 직설적이라 입꼬리 미동 조차 없는 아쉬움
158,아메리칸 셰프,10,인생이 내멋대로 되지 않을때 모든걸 다 버리고 싶을때 다시한번 일어날수 있는 영화
159,스파이더맨: 노 웨이 홈,6,지루해서 중간에 졸음ㅠ
160,경관의 피,6,"흥미로운 소재와 초중반까지의 흡입력은 매우 좋았지만 뭉개지는 발음과 후반부로 가면서 헐거워지는 짜임새, 두 주연배우들을 제외한 캐릭터의 활용이 상당히 아쉬웠던 작품"
161,씽2게더,10,노래는 말할 것도 없고 중간중간 개그코드도 재미있었어요! N차각입니다
162,"고흐, 영원의 문에서",10,연기로 시작해서 연기로 끝난 영화였다.
163,드라이브 마이 카,10,3시간이 조금도 지루하지 않고 순삭되는인생 영화
164,돈 룩 업,6,이 빌어먹을 아이러니가 실제다 확신한다 ㅋ. 그러나 솔직히 재미는 거의 없다. 그러니깐 비싼 배우들 몰빵하고도 넷플릭스용이었지.
165,킹스맨: 퍼스트 에이전트,9,킹스맨 특유의 유쾌함은 덜해졌지만 세련됨은 여전함
166,매트릭스: 리저렉션,8,전 나쁘진 읺았어요.기존 매트릭스 기대하고 보면 안되구요.추억돋고 나름 재밌게 봤습니당ㅎㅎ
167,스파이더맨: 노 웨이 홈,9,오랜만에 처음부터 끝까지 재밌게 본 영화. 보다보면 숨을 참게 되는 순간이 온다.
168,돈 룩 업,10,일반재난영화와 달리 설마 이렇게 까지 내용이 흘러가는거야?  하면서 보는대 맞음. 다보여줌
169,피끓는 청춘,8,박보영이 짱이라는 건 얼핏 공감은 안된다. 키도 작고 순한 이미지라 역할에 어울리진 않음. 영상미는 힐링되고 중간중간 마니 웃게 된다. 박정민 가지씬 인상깊고 귀엽다. 배우들 연기력이나 가볍고  편한 스토리가 좋다. 예전 시절 생각도 나고 힐링되는 영화.
170,뮬란,1,영화 내내 언제 끝나지 라고 생각하면서 본 영화
172,씽2게더,10,기대 별로 안하고 갔는데 음악이 너무 좋아요. 강력추천해요. 꼭꼭꼭 보세요~~~
173,씽2게더,4,억지 스럽게 만들면 혼나요 이젠 !
174,스파이더맨: 노 웨이 홈,10,스케일.영상 굿~내용도 신선햇어요
175,씽2게더,9,눈과 귀가 즐거운 애니메이션. 팝송 좋아하는 사람들 괸람 필수!
176,씽2게더,10,별세계 쇼 out of this world
177,컨택트,10,영화도 재미있었지만 원작소설 테드창의소설이 더 디테일하고 재미있었음...감독도 잘 만들었지만 테드창은 천재소설가인듯...
178,싱크홀,9,난 너무 재밌던데.. 가족들이랑 함께 보기에도 좋았음
179,엘 시크레토: 비밀의 눈동자,10,스릴 잔잔 사랑 애잔한 음악
180,"틱, 틱... 붐!",10,"로제 누나로 인해 이 영화를 보는 사람이 많이 늘어날듯 ,,, 누나랑 영화 취향 비슷한 것 같아 괜히 좋구만 하하,,!"
181,킹스맨: 퍼스트 에이전트,10,역사 좋아하는 사람들한테는 최고의 재미개인적으로 역대 킹스맨중에 제일 재밌었음
182,뉴스 오브 더 월드,6,"'그 글자들을 봐. 그걸 모두 합치면 이야기가 되는 거야.' 감독의 (진짜 능력을 숨긴)잔잔한 웨스턴 연출 볼 만. 타운을 떠돌며 뉴스를 읽어주고 먹고 사는 전직 장교와 백인 인디언은 그 자체의 캐릭터로도 흥미롭고, 둘 간 관계와 휴머니즘은 따뜻하지만, 키드 대위의 부성애는 동기나 복선이 없고 선악의 단순한 도식적 구도는 1차원적. 특히 21세기에도 괴팍하고 공격적이고, 얼굴을 더럽히며 손으로 음식을 먹는 등 전형적인 백인이 보는 야만적 유색인종 묘사는 한심.'앞으로 가려면 먼저 기억해야 해요.', '가난한 사람들이 부자의 전쟁에서 싸웠는데 시궁창에 버려졌어요. 힘껏 싸웠지만 우리 건 아무것도 없죠.'"
183,경관의 피,2,별로 촌스럽고 대사도 잘 안들림
184,킹스맨: 퍼스트 에이전트,9,과거 시리즈가 코믹과 액션이라면 이번 영화는 내용이 있다
185,씽2게더,10,애들이 귀여움 볼만함
186,오 루시!,7,인생은 외로워
187,프리 가이,10,21세기에 만난 최고의 포스트 모던 러브스토리.
188,위대한 쇼맨,10,최고 최고 최고 최고 최고
189,다크 워터스,10,사람사는 일상생활이 지뢰밭
190,장르만 로맨스,10,"기대 없이 보면 쉴 타임 없고, 은근히 좋났다."
191,군함도,1,군함도에서 스러져간 조상분들의 혼이 이 영화를 보시고 편히 성불하지 못하실것 같다..
192,돈 룩 업,9,이 시대를 마음껏 풍자한 명작..
193,스파이더맨: 노 웨이 홈,10,삼스파 나오는 장면.. 가슴이 웅장해진다
194,경관의 피,2,배우들 발음이 워낭소리 할아버지급 발성이었음.나름 무거운 분위기 준다고 넣은 브금이 배우들의 대사를 가볍게 찢어버림.
195,K-19 위도우메이커,10,그들의 의무를 다했을 뿐이다. 국가를 위해서가 아니라 우리를 위해서
196,씽2게더,10,예상치도 못한 ost와 스토리 다양한 캐릭터들의 조화 정말 좋았어요
198,나 홀로 집에,10,진짜 너무 재미있음 시간되면 꼭 보셈 강추
199,인셉션,10,배우라인업 부터 리더 디카프리오까지...너무 경악이다 내가이걸왜26년만에봤을까 진짜뼈저리게후회함 최근영화도 이런영화는 못따라감.. 심지어톰하디형님도 나오누..
200,울프 크릭 2,7,2편 봤을텐데 누가 평점 지웠노
201,경관의 피,10,오랫만에 조진웅 배우 보니 너무 좋았어요. 액션도 좋고 스토리도 탄탄해요. 경찰역의 조진웅 배우는 진리죠.
202,반지의 제왕: 반지 원정대,10,내인생 최고의 명작. 그리고 잊혀지지 않는 가슴 뜨거운 영화.
203,교실 안의 야크,10,영화 보는 내내 힐링되는 느낌 ♡
204,스파이더맨: 노 웨이 홈,8,초중반에 암걸릴것 같았음..윽그래도 연출이랑 연기가 살림
205,십개월의 미래,2,어설픈 영화 억지 공감 현실보다 못한 시나리오 등등 말하기도 아까운 영화
206,죽여주는 여자,10,"너무 무겁고 암울한 현실적 주제라서 보기가 쉽지는 않았다.. 두말할것도 없는 윤여정의 뛰어난 연기와 더불어 어두운 주제의 영화에서 활기를 더해주는 윤계상의 연기또한 너무나 좋았다. 뛰어난 연극한편을 본듯한, 아마 집을 중심으로 인물과 배경을 바뀌어가며 진행되는 연극으로 재연출해도 정말 좋겠다는 생각이드는.. 좋은 영화 잘 봤습니다."
207,경관의 피,10,조진웅의 연기가 압도적~가볍게 보기 좋네요
