,movie,score,sentence
208,그레이브 인카운터 2,2,1편은 신박한 맛에 봤는데2편은 스토리 전개도 그렇고 조악한 cg에 인물들도 몰입도 안되고이건 뭐..
209,씽2게더,10,1편도 재미있었지만 2편 대박입니다. 노래가 이미 검증된 노래들이어서 몇번 더볼듯해요
210,큐브,10,개봉한지 20년이 넘었다는게 신기함흥미진진하고 스릴있게 봄
211,씽2게더,10,굳굳 잘만들었습니다 굳굳
212,아수라,10,재밌음 진짜 스릴있고 볼만해
213,아이 필 프리티,10,오랜만에 신선하고 가벼운 .. 홀가분한 마음이 드는영화네요 재밌어요 ~
214,타짜: 원 아이드 잭,9,주연배우들이 좀 약하구 결말이 망이라 그렇지.  연기는 2편보다는 훨씬 낫다.물론 1은 레전드
215,킹스맨: 퍼스트 에이전트,6,전작과 따로 놓고 본다면 재밌는 영화
216,더 보이,7,홈랜더 유년시절? ㅎㅎ
217,클래식,10,2022년 지금봐도  너무 감동적인 영화입니다.
218,씽2게더,10,"진짜 너무 재밌음,,내 인생 영화!!"
219,매트릭스: 리저렉션,4,영화 초반에 매트릭스 4가 나올수 밖에 없었던 이유가 나온거 같다. 망할 워너브라더스...트리트니 영향력을 늘리려는건 좋은데 네오의 영향력을 뺏어갈 필요가 있나..
220,경관의 피,8,연출이 조금 아쉬웠고. 가끔 대사가 안들려서 이해하기 어려웠다 ㅠ내용이 좀 꼬여있으나 내용도 좋고 배우들의 연ㄱ도 좋았다
221,경관의 피,10,최근 몇 년간 본 영화 중에 가장 좋았습니다 왠지 감정이입이 되어서 그런지 하나를 택하라면 저는 박 반장처럼 할 겁니다
222,판도라,10,"배우들의 연기, 스토리, 연출, 감동 뭐 하나 빠지는거없이 완벽하고 감동적인 영화였습니다."
223,경관의 피,1,조진웅 연기만 남은 영화
224,돈 룩 업,10,오랜만에 진짜 재밌는 영화봐서 좋았습니당
225,유체이탈자,10,"영화 고르다 우연히 보게 됐는데 우와~!! 이걸 우리가 왜 여태 몰랐었지?? 할 정도로 스릴 넘치고 스토리, 윤계상 연기, 액션, 다른 배우분들도 모두 너무 훌륭했어요~!! 엔딩까지 시간 가는줄 몰랐네요~ 최근 본 영화중 최고!!"
226,경관의 피,10,우식이 춤추는거 볼 수 있음
227,특수본,4,저 배우들가지고 이렇게밖에 못만든 감독이 누군지 궁금해서 찾아보긴 생전처음이네. 다행히 이 영화이후로 소질없는거 깨달았는지 후속작은 없고. 차라리 배우만 하세요
228,크롤,8,아무리 영화적 전개를 위해서 라곤 하지만 좀 말이안되는 ㅋㅋ
229,스파이더맨: 노 웨이 홈,10,스파이더맨 팬으로서 선물같은 영화였고 관람후에도 여운이 많이 남아서 좋았어요
230,스파이더맨: 노 웨이 홈,10,"...,...,..."
231,터미네이터: 다크 페이트,10,군데군데 오마쥬도 있고 난 좋았수. 결말도 터미네이터 1의 BGM에 덜 우울해서 good
232,낙원의 밤,10,노킹 온 헤븐스 도어를 24년만에 다시봤다
233,돈 룩 업,8,제니퍼 로렌스인지 모를정도로 연기를잘했고…재밌었음 추천
234,피드백,10,"라디오 DJ 자비스 돌란은 첫 방송 이후, 예전부터 좋아했다는 스토커가 등장해 생방송 중인 방송국을 공격한다...~~!!"
235,경관의 피,1,대사가 너무 안 들리네요; 배우들 연기 때문에 겨우 본 정도
236,수취인불명,7,불편한 진실 같은 영화.. 보고나면 왜진 기분 나빠지는 영화
237,경관의 피,2,"돈,시간아끼세요... 2시간 날렸음"
239,해피 뉴 이어,10,소중한 인연과 행복한 로맨스...~~!!
240,고스트버스터즈 라이즈,10,생각보다 너무 재밌었고 꼬마주인공이 너무 귀여웠다 ㅎㅎ
241,1984 최동원,9,당시 같은 팀원들 관계자들 시합같이했던 선수들 인터뷰를 보면서 더 생동감있게 느껴진다..
242,매트릭스: 리저렉션,10,우리들의 이야기...
243,언포기버블,7,산드라블록 연기 정말 잘한다. 그녀의 연기력이 거의 9할 이상 차지하는 영화
244,경관의 피,10,재밌어요 소리도 잘들립니다
245,퍼스트 카우,9,"19세기 미 서부극 미시사. 그 시절 살기 위한 처절한 투쟁과 극명하게 대조적으로 흘러가는 강물과 원시림을 방불케하는 숲 속, 질척거리는 진흙, 얼기설기 엉성하나 그래도 쉴 곳을 마련해주는 나무 판대기 집과 촛불, 그리고 두 남자의 우정의 아름다움이 담백하게 그려지면서, 영화가 끝나는 순간 문득 가슴이 아파진다. 미사여구도 모멸도 없다. 다만 그 시절의 역사가 있을 뿐이다."
246,해피 아워,10,올해의 영화로 손색없는 연출
247,경관의 피,10,"색다른 긴장, 재미, 스릴이 있는 영화에요! 추천!"
248,타이거마스크,4,레슬링 영화인줄 알보 봤더니...호랑이해라서 타이거마스크인가
249,뜨거운 안녕,10,개봉당시 영화관에서 보고난후 한번씩 다시 보는 영화
250,경관의 피,10,배우들 다들 연기 잘하심
251,씽2게더,10,"보면서 여러번 감동의 소름이끼쳤어요. 스토리, 구성, 음악 다 멋지네요. 처음부터 끝까지 지루한 씬이 없어요. 아이랑 같이가면 너무 좋을듯해요. 연인이랑 봐도 좋을듯.."
252,씽2게더,10,키즈관도 아닌곳이였는데 바로 뒷줄 아이가 시끄럽게 해도 영화에 잘 집중할수 있던 그런영화 였습니다.. .. 무대를 완성시켜가는 과정과 완성된 4개의 무대가 전부 각각 인상 깊었네요
253,경관의 피,10,평점이 낮은 이유를 도무지 알수가 없네...시간 가는 줄 모르고 본 영화
255,아메리칸 갱스터,10,몰입력 최고 후반부에 영화가 끝나가는게 아쉬웠습니다
256,씽2게더,10,버스터 문과 크루들은 레드 쇼어 시티에서 완벽한 라이브를 위해 종적을 감춘 레전드 뮤지션 클레이를 캐스팅하겠다는 파격 선언을 한다.
257,경관의 피,10,연기력도 뛰어나고스토리도 재미있었습니다잘 봤습니다!
259,음란서생,6,배우들의 연기는 훌륭했지만 영화 내 스토리의 마무리가 덜 된 느낌. 조금 아쉬운 영화였다.
260,음란서생,6,배우들의 연기는 훌륭했지만 영화 내 스토리의 마무리가 덜 된 느낌. 조금 아쉬운 영화였다.
262,기적,10,감동적이고 가슴  따스한 좋은 영화입니다
263,스파이더맨 2,10,"스파이더맨 시리즈중 가장 재밌게 본 영화.개인적으로 샘스파 어스파 홈스파 중에 샘스파를 가장 좋아하는데 그중에서도 갓. 노웨이홈 개봉한다 해서 샘스파중에 1,2를 봤는데 2는 진짜..너무 재밌었네요..ㅋㅋㅋ안보신 분들은 꼭 보세요! 정말 강추!"
264,경관의 피,9,재미있게 봤는데 생각보다 평점이 낮아서 놀람
265,해탄적일천,7,오래된 영화지만 그렇지 않은 듯한 작품.
267,씽2게더,10,너무 재밌었다 뮤지컬 영화라고 오로지 오리지널로 한가득이 아니어도 충분히 즐길 수 있었고 무대연출이 진짜 기깔났음
268,베놈 2: 렛 데어 비 카니지,8,막 너어무 재밌다 이건 아닌데 평점 6점대보다는 높아야한다고 생각합니다.재밌지만 우리가 원하는 베놈은 아닌 느낌..?그래도 베놈 영화에서 카니지를 볼수 있어 굿마음을 비우고 킬링타임용으로 보면 좋은 영화일것 같네요..전작을 꽤 재미있게 본 사람으로서 이것도 재밌었습니다.너무 낮은 평점 때문에 극장에서는 포기하고 재미없을 각오하고 어제 봤습니다. 실망하실 수는 있을것같지만 시간이 있다면 보시는 것을 추천드립니다.
269,경관의 피,10,"출처불명의 막대한 후원금을 받고 고급 빌라, 명품 수트, 외제차를 타며 범죄자들을 수사해온 광역수사대 반장 강윤의 팀에 어느 날 뼛속까지 원칙주의자인 신입경찰 민재가 투입된다."
270,여타짜,1,아니 무슨 영화가 이래시간만 버렸네
271,경관의 피,10,일반범죄수사물이라기 보다는 신념에 관한 굉장히 묵직한 영화입니다 배우들 연기가 훌륭합니다 조진웅이랑 최우식 케미도 좋아요
272,스파이더맨: 노 웨이 홈,10,스파이더맨+마블 팬에게는 이시대에 태어난것을 천운이라고 생각할정도로 감동적이고 재미있었던 영화.
273,라스트 듀얼: 최후의 결투,10,"연출, 연기, 스토리, 영상미, ost 부족함이 없네 ."
274,스파이더맨: 노 웨이 홈,10,세명의스파이더맨이 나란히 웹스윙을할때 우리가그려왔던 그림이그려졌습니다 피터가 마지막순간에 자신이 사람들에게 잊혀지는걸선택하며 두 개의 인생을살수없는 슈퍼히어로를명확하게보여주며 이전1 2 편또한 스파이더맨3의 피터의성장을보여주기위해 펼쳤던시나리오였고 사람에게  잊혀질때 사랑하는사람들을포기하는 피터의 큰힘엔큰책임이따른다는뜻을 알려주었습니다 이번3편으로인해 다음편에서보여줄 진짜스파이더맨으로 거듭난 피터의모습 기대하겠습니다 인생최고의 영화였고 재밌게봤습니다 스파이더맨 최고였습니다.
275,보스 베이비 2,8,잼있어요~
276,경관의 피,9,선과악을 넘아드는 조진웅의 연기는 완전 소름입니다 권율의 악역은 여전히 강렬하고 최우식의 눈물에 가슴이 아팠네요 영화 내내 조마조마한 맘으로 봤네요 이런 장르의 영화는 너무 많아서 기대 않하고 봤지만 그래도 재밌게 잘봤네요
277,1987,2,살벌한 김윤석연기 빼놓으면 그냥 허울 겉만 화려하게 보이고자한 배우들 종합선물셋트 수준임
278,사일런스,2,배교에 대한 미화인가 우리나라 천주교 신앙사에서 참 많은 피를 흘린 사람들이 있었다 그와중에 환난을 못이기고 교우들을 밀고한 파렴치한도 있었다 주님의 뜻 양심이란 말도 안되는 변명이 배교를 정당화할순 없다 국민의 뜻을 남발하는 정치인들처럼 주님의 뜻도 모르면서 작품 예술이란 이름으로 장난치는 하나의 불편한 영화였을뿐진짜 신앙인이라면 어찌 할찌 진짜 이세상에서 자신의 이상과 양심으로 사는 삶에 비해 이상과 양심을 저버리고 사류에 순응하던 친일파같은 삶이 정당화가 될수 있나를 생각해보았음 좋겠다
279,경관의 피,10,"평점 왜이렇게 낮은지 모르겠네, 대사 전달 잘 됩니다, 보청기 끼시는분들만 모였나.."
280,천국보다 낯선,10,"아, 배우들의 스타일..너무 좋다! 특히 여주.. 너무 이쁘다! 내가 너무 좋아하는 코디! 내용도 너무 재밌고!"
281,스톤,10,이걸 단순 조폭영화라하는 사람은 이해력이 부족한사람인듯합니다
282,고스트버스터즈 라이즈,10,세련되지 않더라도 진정성이 담긴 속편이자 헌정
284,경관의 피,7,"위플래쉬와 같은 맥락.정의로운 결과를 위해서라면, 과정은 언제나 정당화되는가."
285,수잔 브링크의 아리랑,10,초등학교 시절 TV에서 방영해 보게됐던 이 영화는 30대가 된 지금까지 잊혀지지 않는다
286,킹스맨: 퍼스트 에이전트,10,줄거리도 좋고 액션도 볼만합니다
287,듄,10,"빈틈없이 완벽한 영화, 아직 한번도 안본 사람 부럽다, 처음 본 느낌으로 또 보고싶을뿐,,"
288,씽2게더,10,"섭외력부터 유니버셜 했다라고 평가하고 싶고 심지어 포르샤(극장 회장 딸),누시(스트릿댄서) 같은 출연이 완전 없는 캐릭터도 굉장히 매력있게 만들었고 윤도현을 섭외한걸 보고 굉장히 놀람. 꼭 영화관에서 보기를 추천하고 삶에 스트레스가 있다면 잊고 영화관에서 즐기는걸 추천"
290,스파이더맨: 노 웨이 홈,6,"톰 홀랜드의 선택이 답답함을 일으켜서 그 이후 모든 감정에 집중이 어려웠다. 큰엄마도 사상이 이상함. 그 외 이전 작품들을 모두 갈무리지은 시나리오 전개는 정말 대단했음. 장단이 너무나 명확한 영화. 연출, 연기, 재미에 별 하나씩"
291,씽2게더,9,1편이랑 똑같이 정신없고 대책없지만 영상미와 노래가 뒷받침해줘서 볼만한 영화!
292,돈 룩 업,7,인간의 욕망을 바라보는 시선
293,도망친 여자,1,지겨운 홍상수식 찌질이.  어중이 떠중이들은 이런 거 보면 지가 품위 있는 줄 착각 ㅋ
294,개와 고양이를 위한 시간,10,일찍 일어난 일요일 아침에 보고싶던 영화가 찾아도 없길래 아무 생각 없이 고양이나 강아지가 보고 싶어 틀었던 영상에서 따뜻함을 느꼈고 엄마 미소로 웃었고 눈물도 훔쳤다. 그리고 안형수님의 곡이 플레이리스트에 추가되었다.
295,시간이탈자,5,임수정의 사랑스러움과 스릴러의 냉혹함이 너무나 이질적..곽재용은 멜로에  충실해야.
296,경관의 피,10,오랜만에 보는 액션영화 재미있고 스릴있고 최우식의 경찰연기와 믿고 보는 조진웅의 연기 합이 정말 좋았다
297,씽2게더,9,잘만든 2편의 대명사 기대 이상으로 많은 걸 보여줬다
298,이장과 군수,5,지금보다 젊은 시절의 유해진과 차승원 조합이 보기 좋았다. 영화 내용은 전반적으로 잔잔하고 유쾌했지만 뒤로 갈수록 내용이 점점 산으로 가버리다가 엔딩에 와서는 이게 뭔 영화일까 싶은 게 정말 노답스러운 엔딩이었다..
299,프렌치 디스패치,7,약간은 생각보다 난해하다. 웨스 앤더슨 특유의 미장센과 연출력은 여전하지만... 옴니버스이기도 해서 내러티브가 복잡하다.
301,씽2게더,10,아이들과 본 최고의 영화!
302,돈 룩 업,10,무섭따 ㅠ  무섭따 무섭따
303,허슬러,2,어휴 ㅜㅜ 최근 영화중 제일 별로였어요
304,미드나이트,2,저 배우들로 이런 영화를....
305,매트릭스: 리저렉션,8,재미만있구만 전편내용을 기억한다면 충분히 재미있다
306,경관의 피,5,"주제자체는 생각해볼 거리가 있는 부분인거 같은데 너무 꼬아서 보여줘서 이해가 잘 안됨 / 최우식이랑 역할이 별로 안 어울림(혼자만 다른 연기하는 느낌) / 대사도 안 들리고 장면도 잘 안보임 / 어디서 본거같은 연출, 상황"
307,영혼의 순례길,4,의도나 내용은 좋았지만 티벳순례길 다큐를 중국인 감독이 찍었다는 게 모순이었구요. 다큐라고 하는데 어딘지 모르게 각본이 짜여진 느낌이 나더라구요. 그냥 제 느낌입니다~
308,경관의 피,4,음..예고편 나오는거 다 돌려보고 너무 재밌게봐서 그런지 확 임펙트 있는 먼가가 없고 그냥 예고편이거의 전부같은 느낌이에요..중요한건 배우들 대사가 잘안들리고 전체적으로 집중이 너무 안되요... 연기는 좋지만 좋은배우에 비해 영화가 많이 아쉽습니다...
309,베놈,7,다른 건 모르겠지만 베놈 캐릭터의 개연성 설정에는 실패했다. 빌런이란 특징을 내세웠지만 마치 트랜스포머의 정신을 계승한듯한 빌런? (사실 빌런도 아니다.)
310,배심원들,10,설명필요없습니다. 보세요. 보고 또 봐도 재밌습니다.
311,돈 룩 업,8,여러 분야에 놓는 일침이 있네요. 이런 예술계의 외침이 좀 파급력이 있기를... 플리스 룩업
312,경관의 피,2,이영화때문에 여자친구와의 데이트를 망쳤습니다그냥 보지마세요마지막엔 왜그리 오글거리게 연출햇나요. 제발..
313,킹스맨: 퍼스트 에이전트,10,역사 배경을 모르고 본다면 시시하겟지만 역사적 사실을 알고 난 후에 본다면 감독이 얼마나 스토리 개연성이 신경을 썼는지 알수 있는 작품임
314,어거스트 러쉬,10,10년 전에 보고 다시 봤는데도 감동이네요 ~
315,노바디,10,존웍 저리가라고 해라 개연성 아트 음악 죽인다꼭 봐라
316,어메이징 스파이더맨 2,10,진짜아아아 재밌음!!
317,클레멘타인,10,세상에 이런영화가 있었다니... 몰랐던 세월을 후회합니다.
319,추격자,6,영화는 그시대상을 반영한다고 한다 추격자라는 영화를 모르고 살다가 13년이지난 지금에 본 나는 공감이안되는 부분도 많고 감정이입이안된다. 그러나 확실히 그시대에 봤다면 명작인것은 확실한것같다
320,스파이더맨: 노 웨이 홈,8,너무 즐거웠습니다
321,크리미널 스쿼드,10,역시 영화는 끝까지 봐야 안다
322,헤라클레스 : 레전드 비긴즈,2,배우들의 연기는 어이가 없고 연출력도 우뢰매 급 수준. 마지막 썬더볼트 검 CG는 30년전 심형래 작품에 대한 헌사로 느껴질 정도
324,돈 룩 업,7,"지구 멸망을 그리고 있으면서도 시청자 혼자서 상상할 수 있는 내용은 굳이 그리지 않는 것이 좋았다. 특히 동시대 시청자로 하여금 많은 생각을 하게 해준 영화라는 점도 좋았다. 백신음모론자, 기후위기 무신론자 등 현대 무지성인들이 어떻게 세상을 끝낼 수 있는지 현실적으로 풀어냄. 그러나 전지구적 멸망을 그리고 있으면서 해결주체가 미국이라는 점은 조금 아쉬웠음."
325,천장지구,10,내 인생 최고의 홍콩영화... 아직 내 마음속 어떤 영화도 이 영화를 뛰어넘지 못했다. 유덕화의 아화와 오천련의 죠죠는 아무도 대체할 수 없다.
326,씽2게더,10,와~ 진짜 너무 재밌고 즐겁게 봤어요!일어나서 박수치고 춤출뻔했네요근래에 본 애니메이션중에서 가장 즐겁게 지루하지 않게 본 것 같아요. 또 보러가고 싶어요~^^
327,경관의 피,6,울나라 영화도 관계자들이 미리 보고 어떤 부분에서 대사가 들리지 않으면 그 부분은 자막이라도 넣어야 한다
328,잃어버린 아이들,10,유덕화 연기 이렇게 잘했었나... 정백연과의 케미도 스토리도 훌륭했다. 아주 좋은 영화다.
329,돈 룩 업,10,오늘 밤 당신은 잠 못들 것이다. 우주에 떠 도는 우리 삶의 흔적 때문에.
330,돈 룩 업,10,이걸 단순 재미를 위한 영화라 생각하는 사람들은 참으로 어리거나 현실감 떨어지는 사람들이라 생각됨
331,캣츠,3,"중견배우들이 길냥이로 분장한 결과가 이토록 혐짤이라니.""메모리""를 제니퍼허드슨이 잘 소화못했다능.""미스터 미스토펠리스""가 더 낫다."
332,스파이더맨: 노 웨이 홈,9,솔직히 삼스파가 웹스윙 할때는 진짜 멋있었음
333,당신얼굴 앞에서,7,항상 장소만큼은 확빠져드는 느낌을 주네요...나중에 홍상수 전국팔도 가볼만한곳 책써도 될듯 ㅋ
334,씽2게더,10,너무 재미있었고 또 보고싶네요.
336,경관의 피,10,배우들 연기 최고! 너무 재밌어요
337,언프레임드,10,각 단편들이 모두 마음을 움직였어요. 너무 좋았어요
338,반드시 잡는다,2,초반은 한국식 코미디인가 싶어 좋았는데갑자기 진지한 혈흔이 나오면서... 모방범죄도연결성 하나도 없고 ... 스토리 망
339,써니,8,히로세스즈 느므느므 귀여운 ㅋ 다만 엄마역 료코님의 분량때메 상대적으로 스즈의 분량이 좀 적은거 같아 아쉬웠지만 쨋든 팬되었슴 ㅋ
340,담보,6,와 막판에 억지눈물 끌어내려고 이런 개억지를... 만들면서도 고개 갸우뚱 했을거같은데
341,장르만 로맨스,10,웃기는장면 꽤 나오는데 선비들만 모였노 ㅋ 고라니 울때랑 아침에 깰때 코박는 장면 등등 ㅋ
342,블랙핑크 더 무비,5,"“블랙핑크”의 팬이라면 두 손 들고 반길 공연 실황이지만, 그 외에겐 유튜브 영상 수준으로 보인다."
343,송해 1927,5,"몰랐던 가족 이야기는 감동적이지만, 대한민국 연예계의 중요한 인물에 대한 깊은 탐구는 부족하다."
344,1984 최동원,6,야구나 최동원 선수를 모르는 사람이 봐도 한국 야구에 있어 그가 지니는 의미를 잘 알게 해준다.
345,씽2게더,6,지루하다감도없고아이도 재밌게 본 거 같진않다6세 여아
346,킹스맨: 퍼스트 에이전트,9,전작을 기대하고 본다면 6점 이겠지만 영화 하나로 평가하면 9점 정도 되는것 같다 영화도 정말 잘만든듯 굳굳
347,스파이더맨: 노 웨이 홈,9,삼파이더맨 재밌는데?
348,스파이더맨: 노 웨이 홈,9,삼파이더맨 재밌는데?
349,사운드 오브 뮤직,10,OST는 지금까지도 회자되는 명곡들이고 화면중 어느 하나 버릴것 없이 아름다움.그때당시 드론도 없이 헬기타고 찍었을 광활한 자연속 아름다움은 잊을수가 없다.
350,우주 전쟁,7,애들땜에 암걸려서 망친영화 ...남자애는 중2병에 여자애는 정신병걸린거같음
351,수상한 그녀,1,연기가 재수없음 입 막아버리고싶음
352,로또쉐어,3,로또라는 게 당첨 됐다고 마냥 좋지만은 않지
353,모리의 정원,9,"최근 일본영화가 한국영화에 많이 밀렸다고 하지만, 이런 스타일이 일본영화가 가야할 지향점을 보여주는 듯. 잔잔하면서도 적당한 무게감. 의미부여 등 모두 훌륭하다. 세세하게 들여다보면 b급인척 하는 a급 영화다."
354,스파이더맨: 노 웨이 홈,10,이런게 블록버스터지요. 감동...
355,매트릭스: 리저렉션,6,보지말걸...실망할거라 그랬는데...고놈의 기대감땜시...보지말걸....
356,해리 포터와 마법사의 돌,10,"진짜 재밌었었고,이걸로 영어 실력도 많이 늘었어요^^"
357,블레이드 러너 2049,10,위대하고 세련되고 슬픈..
358,플로리다 프로젝트,10,그래. 무니. 마음이 아프고 두려울 땐 원래 그렇게 울어도 되는거야.
359,스파이더맨: 노 웨이 홈,10,역대 스파이더맨들을 한 프레임 안에서 볼 수 있다는게 너무나 큰 영광이었다.
360,경관의 피,10,이 영화는 지역별 집계를 하면 대구 사람이 제일 많이 보지 않았을까 싶습니다씨네80의 마지막 피날레를 장식한 영화진짜 대구의 절반은 봤을듯
361,기묘한 가족,10,설정이 독특한 좀비영화라 부산행같은 액션 스릴러 기대했다면 실망할 수 있겠지만 대박난 영화 ‘극한직업’ 못지않게 웃긴 B급 정서의 잘 만든 코메디 영화. 극한직업이 1600만명 흥행작이었는데 고작 26만명이라니! 한마디로 운이 없었다는 말로 밖엔 설명이 안 되는 영화.
362,씽2게더,10,1편보다 훨씬 스케일도 크고 노래들도 다같이 좋았습니다. 아이들과 와이프 정말 감동했습니다
363,정글 크루즈,6,그냥 저냥 볼만합니다좀 길어요 한시간정도  내용을 잡아 늘린듯
364,경관의 피,4,박희순 목소리가 웅얼웅얼 잘안들림
365,경관의 피,7,긴장감은 괜찮았는데… 사운드믹싱은 엉망이고 결론도 맘에 안들고..
366,신세계,9,"명대사의 향연, 잘 짜여진 스토리가 일품인 영화. 이 영화를 통해 우리가 아는 박성웅이 발견되었으며 유명한 명대사도 나왔다. 황정민 이정재는 말할 필요 없다. 남자라면 한 번이라도 봤을 영화"
367,세 얼간이,10,인생영화. 꼭 보세요. 강추입니다.
368,"철없는 아내와 파란만장한 남편, 그리고 태권소녀",10,시대를앞서간 명작이라고생각함..
369,경관의 피,10,매우 재밌다. 추천 완추
370,씽2게더,7,생각보다 먆이 재밌고 노래도 좋았음
371,돈 룩 업,10,장르는 코메디인데 현실과 맞닿은 부분들이 많아서 생각을 많이하게 만들었고 영화 매드시티가 언론문제만 담았다면 돈룩업은 정치에 의한 친언론에 선동된 포퓰리즘까지 보여줬다.
373,경관의 피,6,"흥미로운 소재, 어디서 본듯한 기시감, 뭉개지는 사운드"
374,배드 사마리안,10,뻔한 스토리 일 줄 알았는데기대이상이네요
376,킹스맨: 퍼스트 에이전트,6,전작들보다는 재미없네그래도 무난한 팝콘무비는 됨
377,언포기버블,10,짜증나는 내용인줄 알았는데 후반으로 갈수록 빠져들고 깊은 여운이 남는다.  산드라블록 영화는 그냥 무조건 봐~ 그러나 주인공의 선택에는 공감하지못하겠음..
378,화이트 하우스 다운,1,주인공 딸년 ㅈㄴ암걸림 백악관 최후의 날 짭
379,경관의 피,4,잘안들림. 내용이 흡입력이 없다.
380,씽2게더,10,애니메이션이 이렇게 감동적이기 있냐...
381,엔칸토: 마법의 세계,10,노래도 다좋고 재밌게 봤음
382,사냥의 시간,1,최상급 배우들로 OO음식물쓰레기를 만들었네뻔한스토리 감동도없음 답답하기만하고 꼴에 2편암시 ㅋㅋㅋㅋ댓글알바님들 열일하시네요시간낭비하지 마세요~~
383,로건,10,엑스맨 하나도 안보고갔는데 재밌게봤음
384,돈 룩 업,7,내용만 다른 GTA5가 영화로 만들어진 느낌. 미국 블랙코미디에 거부감 있는분들은 안보시길 추천
385,스파이더맨: 노 웨이 홈,4,"한국영화가 했다면 신파극, 마블이 하면 감동의 도가니"
386,버즈 오브 프레이(할리 퀸의 황홀한 해방),10,이거 재밌었는데 평점 너무 낮은듯
387,밀정,10,일제시대 참담한 대한민국을 느끼게 해준 최고의 영화입니다
388,타이거마스크,1,아 진짜.. OO래...?이거 어린이 영화였냐..???
389,하이 라이프,10,이 영화가 5점대라니스타워즈나 봐라 리신 눈깔들아
390,매트릭스: 리저렉션,10,매트릭스 트릴로지를 셀 수도 없이 많이 본 사람이면 모든 걸 찾아낼 것이다. 워쇼스키의 선물같은 작품.
391,고스트버스터즈 라이즈,8,이전편을 완벽하게 못보고 봤는데도 충분히 재밌고 감동적이었습니다.
392,타오르는 여인의 초상,8,마지막 표정들이 잊혀지지 않는다. 음악이 귀에서 들리는 듯...
393,프라미싱 영 우먼,10,모든 남자가 범죄자가 아니듯이 이 영화를 보지 않고 무작정 페미니즘 영화라고 바라보지 않기를 바랍니다. 이건 예전에도 또 지금도 일어나고 있는 범죄입니다.
394,대통령의 연인,10,"감동적... _ /,_"
395,스파이더맨: 노 웨이 홈,10,너무 재미있게 잘 봤어요
396,프랭키와 쟈니,8,"게리 마샬의 덜 알려진 로코 수작. 싱글로 지내다 고독사하는 동료를 보며 마음이 복잡해지는 비혼녀 프랜시스, 그런 그녀에게 들이대는 매력넘치고 바람둥이같은 자니. ""당신이 다시 숨어버릴까 겁이 나요. 그래서 그냥 둘 수 없어. 난 당신을 사랑하니까"""
397,태일이,8,윤석열이가 이걸 보고도 120시간 소리가 나오는지 이소선 전태일 열사 고맙습니다 잊지 않겠습니다
